Ano,Faixa Etária,Cor/Raça,Valor
2016,15 anos ou mais,Total,10690.0
2016,15 anos ou mais,Branca,2779.0
2016,15 anos ou mais,Preta ou parda,7844.0
2017,15 anos ou mais,Total,10495.0
2017,15 anos ou mais,Branca,2676.0
2017,15 anos ou mais,Preta ou parda,7748.0
2018,15 anos ou mais,Total,10265.0
2018,15 anos ou mais,Branca,2525.0
2018,15 anos ou mais,Preta ou parda,7648.0
2019,15 anos ou mais,Total,10054.0
2019,15 anos ou mais,Branca,2350.0
2019,15 anos ou mais,Preta ou parda,7613.0
2022,15 anos ou mais,Total,9560.0
2022,15 anos ou mais,Branca,2521.0
2022,15 anos ou mais,Preta ou parda,6939.0
2023,15 anos ou mais,Total,9328.0
2023,15 anos ou mais,Branca,2394.0
2023,15 anos ou mais,Preta ou parda,6828.0
2024,15 anos ou mais,Total,9131.0
2024,15 anos ou mais,Branca,2297.0
2024,15 anos ou mais,Preta ou parda,6720.0
2016,18 anos ou mais,Total,10621.0
2016,18 anos ou mais,Branca,2761.0
2016,18 anos ou mais,Preta ou parda,7793.0
2017,18 anos ou mais,Total,10436.0
2017,18 anos ou mais,Branca,2659.0
2017,18 anos ou mais,Preta ou parda,7708.0
2018,18 anos ou mais,Total,10207.0
2018,18 anos ou mais,Branca,2505.0
2018,18 anos ou mais,Preta ou parda,7611.0
2019,18 anos ou mais,Total,10005.0
2019,18 anos ou mais,Branca,2339.0
2019,18 anos ou mais,Preta ou parda,7576.0
2022,18 anos ou mais,Total,9515.0
2022,18 anos ou mais,Branca,2505.0
2022,18 anos ou mais,Preta ou parda,6910.0
2023,18 anos ou mais,Total,9278.0
2023,18 anos ou mais,Branca,2374.0
2023,18 anos ou mais,Preta ou parda,6797.0
2024,18 anos ou mais,Total,9099.0
2024,18 anos ou mais,Branca,2285.0
2024,18 anos ou mais,Preta ou parda,6700.0
2016,25 anos ou mais,Total,10387.0
2016,25 anos ou mais,Branca,2697.0
2016,25 anos ou mais,Preta ou parda,7625.0
2017,25 anos ou mais,Total,10209.0
2017,25 anos ou mais,Branca,2598.0
2017,25 anos ou mais,Preta ou parda,7542.0
2018,25 anos ou mais,Total,10000.0
2018,25 anos ou mais,Branca,2455.0
2018,25 anos ou mais,Preta ou parda,7455.0
2019,25 anos ou mais,Total,9785.0
2019,25 anos ou mais,Branca,2281.0
2019,25 anos ou mais,Preta ou parda,7415.0
2022,25 anos ou mais,Total,9344.0
2022,25 anos ou mais,Branca,2445.0
